0,1,2,3,4,5,6,7,8,9,10,11,12,13,__table_index__,14,15
案件,,,,,,,,,,,,,,11,時程,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,11,,
數,,,,,,原容大於法,,,,7綠,,,,11,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,11,,總獎勵額度
,,,,,,容3,,,,建築,,,,11,模獎,
,,,,,,,估,縮,計,,築,設計,設地,11,,
,,,,,,,,,,,,,,11,勵,
154,190 中正區,臨沂段一小段488-1地號等土地 臺北市中正區齊東街,,,109/4/14,,8,,2,10,10,,,11,10,40
155,936 北投區,文林段五小段47地號等土地,臺北市北投區石牌路一段,,109/4/16,,8,8,2,6,6,,,11,10,40
,,,,,,,,,,,,,,11,,366.92%
156,171 中正區,河堤段三小段67地號等土地,臺北市中正區晉江街,,109/4/20,512.15,8,,4,6,2,,,11,10,
,,,,,,,,,,,,,,11,,原容1.15
,,,,,,,,,,,,,,11,,425.54%
157,323 中正區,南海段一小段710地號等土地,臺北市中正區金華街,失其效力,109/4/21,1132.03,8,8,2,6,,,,11,10,
,,,,,,,,,,,,,,11,,原容1.15
158,533 士林區,天母段二小段76地號等土地,臺北市士林區天玉街,,109/4/24,,6,10,2,6,6,,,11,10,40
159,570 中正區,中正段一小段232地號等土地,臺北市中正區丹陽街,,109/4/27,,6,8,10,6,,,,11,10,40
160,304 士林區,光華段二小段479-1地號等土地 臺北市士林區中正路,,,109/4/30,,8,,2,,,,,11,10,20
161,162 大同區,玉泉段一小段193地號等土地,臺北市大同區天水路,,109/4/30,,8,,4,,,,,11,10,22
162,491 士林區,天母段一小段189地號等土地,臺北市士林區中山北路六段,,109/4/30,,8,8,10,4,,,,11,10,40
163,662 北投區,奇岩段一小段101地號等土地,臺北市北投區公館路,,109/5/4,,8,8,2,6,6,,,11,10,40
164,487 中山區,中山段三小段727地號等土地,臺北市中山區中山北路二段,,109/5/4,,6,,10,6,6,,,11,10,38
165,351 士林區,百齡段四小段324地號等土地,臺北市士林區福港街,,109/5/7,,8,,2,4,,,,11,10,24
166,243 中山區,中山段四小段21地號等土地,臺北市中山區中山北路二段,,109/5/7,,8,,2,6,6,3,,11,10,35
167,362 士林區,天母段二小段173地號等土地,臺北市士林區天玉街,昰美飯店,109/5/8,,8,8,10,4,6,,,11,10,40
,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,,12,,
案件,,,,,,,,,,,,,時程,12,,
,基地面積(㎡)行政區,地段地號門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,,12,,
數,,,,,原容大於法,,,,7綠,,,,+規,12,,
,,,,,,構評,地退,震設,,慧建,障礙,贈公,,12,總獎勵額度,
,,,,,容3,,,,建築,,,,模獎,12,,
,,,,,,估,縮,計,,築,設計,設地,,12,,
,,,,,,,,,,,,,勵,12,,
168,720 萬華區,萬大段二小段570地號等土地臺北市萬華區萬大路,,109/5/14,,8,,,,,,,10,12,18,
169,456.5 士林區,天母段四小段471-1地號等土地 臺北市士林區中山北路七段,,109/5/14,,8,8,4,6,,4,,10,12,40,
170,1146 大同區,延平段三小段396地號等土地臺北市大同區民樂街,,109/5/15,,8,,10,6,6,4,,10,12,40,
171,525 大同區,橋北段三小段654地號等土地臺北市大同區延平北路三段,龍雲寺,109/5/19,,8,10,,,,,,10,12,28,
172,629 松山區,美仁段一小段450地號等土地臺北市松山區南京東路四段,,109/5/19,,8,,2,6,,4,,10,12,30,
